Community,Average Degree Centrality,Node Count
Community 578,0.000380463213963,3
Community 579,0.000380463213963,3
Community 580,0.000380463213963,3
Community 581,0.000380463213963,3
Community 582,0.000380463213963,3
Community 583,0.000380463213963,3
Community 584,0.000380463213963,3
Community 585,0.000380463213963,3
Community 586,0.000380463213963,3
Community 587,0.000380463213963,3
Community 588,0.000380463213963,3
Community 589,0.000380463213963,3
Community 590,0.000380463213963,3
Community 591,0.000380463213963,3
Community 592,0.000380463213963,3
Community 593,0.000380463213963,3
Community 594,0.000380463213963,3
Community 595,0.000380463213963,3
Community 596,0.000380463213963,3
Community 597,0.000380463213963,3
Community 598,0.000380463213963,3
Community 599,0.000380463213963,3
Community 600,0.000380463213963,3
Community 601,0.000380463213963,3
Community 602,0.000380463213963,3
Community 603,0.000380463213963,3
Community 604,0.000380463213963,3
Community 605,0.000380463213963,3
Community 606,0.000380463213963,3
Community 607,0.000380463213963,3
Community 608,0.000380463213963,3
Community 609,0.000380463213963,3
Community 610,0.000380463213963,3
Community 611,0.000380463213963,3
Community 612,0.000380463213963,3
Community 613,0.000380463213963,3
Community 614,0.000380463213963,3
Community 615,0.000380463213963,3
Community 616,0.000380463213963,3
Community 617,0.000380463213963,3
Community 618,0.000380463213963,3
Community 619,0.000380463213963,3
Community 620,0.000380463213963,3
Community 621,0.000380463213963,3
Community 622,0.000380463213963,3
Community 623,0.000380463213963,3
Community 624,0.000380463213963,3
Community 625,0.000380463213963,3
Community 626,0.000380463213963,3
Community 627,0.000380463213963,3
Community 628,0.000380463213963,3
Community 629,0.000380463213963,3
Community 630,0.000380463213963,3
Community 631,0.000380463213963,3
Community 632,0.000380463213963,3
Community 633,0.000380463213963,3
Community 634,0.000380463213963,3
Community 635,0.000380463213963,3
Community 636,0.000380463213963,3
Community 637,0.000380463213963,3
Community 638,0.000380463213963,3
Community 639,0.000380463213963,3
Community 640,0.000380463213963,3
Community 641,0.000380463213963,3
Community 642,0.000380463213963,3
Community 643,0.000380463213963,3
Community 644,0.000380463213963,3
Community 645,0.000380463213963,3
Community 646,0.000380463213963,3
Community 647,0.000380463213963,3
Community 648,0.000380463213963,3
Community 649,0.000380463213963,3
Community 650,0.000380463213963,3
Community 651,0.000380463213963,3
Community 652,0.000380463213963,3
Community 653,0.000380463213963,3
Community 654,0.000380463213963,3
Community 655,0.000380463213963,3
Community 656,0.000380463213963,3
Community 657,0.000380463213963,3
Community 658,0.000380463213963,3
Community 659,0.000380463213963,3
Community 660,0.000380463213963,3
Community 661,0.000380463213963,3
Community 662,0.000380463213963,3
Community 663,0.000380463213963,3
Community 664,0.000380463213963,3
Community 665,0.000380463213963,3
Community 666,0.000380463213963,3
Community 667,0.000380463213963,3
Community 668,0.000380463213963,3
Community 669,0.000380463213963,3
Community 670,0.000380463213963,3
Community 671,0.000380463213963,3
Community 672,0.000380463213963,3
Community 673,0.000380463213963,3
Community 674,0.000380463213963,3
Community 675,0.000380463213963,3
Community 676,0.000380463213963,3
Community 677,0.000380463213963,3
Community 678,0.000380463213963,3
Community 679,0.000380463213963,3
Community 680,0.000380463213963,3
Community 681,0.000380463213963,3
Community 682,0.000380463213963,3
Community 683,0.000380463213963,3
Community 684,0.000380463213963,3
Community 685,0.000380463213963,3
Community 686,0.000380463213963,3
Community 687,0.000380463213963,3
Community 688,0.000380463213963,3
Community 689,0.000380463213963,3
Community 690,0.000380463213963,3
Community 691,0.000380463213963,3
Community 692,0.000380463213963,3
Community 693,0.000380463213963,3
Community 694,0.000380463213963,3
Community 695,0.000380463213963,3
Community 696,0.000380463213963,3
Community 697,0.000380463213963,3
Community 698,0.000380463213963,3
Community 699,0.000380463213963,3
Community 700,0.000380463213963,3
Community 701,0.000380463213963,3
Community 702,0.000380463213963,3
Community 703,0.000380463213963,3
Community 704,0.000380463213963,3
Community 705,0.000380463213963,3
Community 706,0.000380463213963,3
Community 707,0.000380463213963,3
Community 708,0.000380463213963,3
Community 709,0.000380463213963,3
Community 710,0.000380463213963,3
Community 711,0.000380463213963,3
Community 712,0.000380463213963,3
Community 713,0.000380463213963,3
Community 714,0.000380463213963,3
Community 715,0.000380463213963,3
Community 716,0.000380463213963,3
Community 717,0.000380463213963,3
Community 718,0.000380463213963,3
Community 719,0.000380463213963,3
Community 720,0.000380463213963,3
Community 721,0.000380463213963,3
Community 722,0.000380463213963,3
Community 723,0.000380463213963,3
Community 724,0.000380463213963,3
Community 725,0.000380463213963,3
Community 726,0.000380463213963,3
Community 727,0.000380463213963,3
Community 728,0.000380463213963,3
Community 729,0.000380463213963,3
Community 730,0.000380463213963,3
Community 731,0.000380463213963,3
Community 732,0.000380463213963,3
Community 733,0.000380463213963,3
Community 734,0.000380463213963,3
Community 735,0.000380463213963,3
Community 736,0.000380463213963,3
Community 737,0.000380463213963,3
Community 738,0.000380463213963,3
Community 739,0.000380463213963,3
Community 740,0.000380463213963,3
Community 741,0.000380463213963,3
Community 742,0.000380463213963,3
Community 743,0.000380463213963,3
Community 744,0.000380463213963,3
Community 745,0.000380463213963,3
Community 746,0.000380463213963,3
Community 747,0.000380463213963,3
Community 748,0.000380463213963,3
Community 749,0.000380463213963,3
Community 750,0.000380463213963,3
Community 751,0.000380463213963,3
Community 752,0.000380463213963,3
Community 753,0.000380463213963,3
Community 754,0.000380463213963,3
Community 755,0.000380463213963,3
Community 756,0.000380463213963,3
Community 757,0.000380463213963,3
Community 758,0.000380463213963,3
Community 759,0.000380463213963,3
Community 760,0.000380463213963,3
Community 761,0.000380463213963,3
Community 762,0.000380463213963,3
Community 763,0.000380463213963,3
Community 764,0.000380463213963,3
Community 765,0.000380463213963,3
Community 766,0.000380463213963,3
Community 767,0.000380463213963,3
Community 768,0.000380463213963,3
Community 769,0.000380463213963,3
Community 770,0.000380463213963,3
Community 771,0.000380463213963,3
Community 772,0.000380463213963,3
Community 773,0.000380463213963,3
Community 774,0.000380463213963,3
Community 775,0.000380463213963,3
Community 776,0.000380463213963,3
Community 777,0.000380463213963,3
Community 778,0.000380463213963,3
Community 779,0.000380463213963,3
Community 780,0.000380463213963,3
Community 781,0.000380463213963,3
Community 782,0.000380463213963,3
Community 783,0.000380463213963,3
Community 784,0.000380463213963,3
Community 785,0.000380463213963,3
Community 786,0.000380463213963,3
Community 787,0.000380463213963,3
Community 788,0.000380463213963,3
Community 789,0.000380463213963,3
Community 790,0.000380463213963,3
Community 791,0.000380463213963,3
Community 792,0.000380463213963,3
Community 793,0.000380463213963,3
Community 794,0.000380463213963,3
Community 795,0.000380463213963,3
Community 796,0.000380463213963,3
Community 797,0.000380463213963,3
Community 798,0.000380463213963,3
Community 799,0.000380463213963,3
Community 800,0.000380463213963,3
Community 801,0.000380463213963,3
Community 802,0.000380463213963,3
Community 803,0.000380463213963,3
Community 804,0.000380463213963,3
Community 805,0.000380463213963,3
Community 806,0.000380463213963,3
Community 807,0.000380463213963,3
Community 808,0.000380463213963,3
Community 809,0.000380463213963,3
Community 810,0.000380463213963,3
Community 811,0.000380463213963,3
Community 812,0.000380463213963,3
Community 813,0.000380463213963,3
Community 814,0.000380463213963,3
Community 815,0.000380463213963,3
Community 816,0.000380463213963,3
Community 817,0.000380463213963,3
Community 818,0.000380463213963,3
Community 819,0.000380463213963,3
Community 820,0.000380463213963,3
Community 821,0.000380463213963,3
Community 822,0.000380463213963,3
Community 823,0.000380463213963,3
Community 824,0.000380463213963,3
Community 825,0.000380463213963,3
Community 826,0.000380463213963,3
Community 827,0.000380463213963,3
Community 828,0.000380463213963,3
Community 829,0.000380463213963,3
Community 830,0.000380463213963,3
Community 831,0.000380463213963,3
Community 832,0.000380463213963,3
Community 833,0.000380463213963,3
Community 834,0.000380463213963,3
Community 835,0.000380463213963,3
Community 836,0.000380463213963,3
Community 837,0.000380463213963,3
Community 838,0.000380463213963,3
Community 839,0.000380463213963,3
Community 840,0.000380463213963,3
Community 841,0.000380463213963,3
Community 842,0.000380463213963,3
Community 843,0.000380463213963,3
Community 844,0.000380463213963,3
Community 845,0.000380463213963,3
Community 846,0.000380463213963,3
Community 847,0.000380463213963,3
Community 848,0.000380463213963,3
Community 849,0.000380463213963,3
Community 850,0.000380463213963,3
Community 851,0.000380463213963,3
Community 852,0.000380463213963,3
Community 853,0.000380463213963,3
Community 854,0.000380463213963,3
Community 855,0.000380463213963,3
Community 856,0.000380463213963,3
Community 857,0.000380463213963,3
Community 858,0.000380463213963,3
Community 859,0.000380463213963,3
Community 860,0.000380463213963,3
Community 861,0.000380463213963,3
Community 862,0.000380463213963,3
Community 863,0.000380463213963,3
Community 864,0.000380463213963,3
Community 865,0.000380463213963,3
Community 866,0.000380463213963,3
Community 867,0.000380463213963,3
Community 868,0.000380463213963,3
Community 869,0.000380463213963,3
Community 870,0.000380463213963,3
Community 871,0.000380463213963,3
Community 872,0.000380463213963,3
Community 873,0.000380463213963,3
Community 874,0.000380463213963,3
Community 875,0.000380463213963,3
Community 876,0.000380463213963,3
Community 877,0.000380463213963,3
Community 878,0.000380463213963,3
Community 879,0.000380463213963,3
Community 880,0.000380463213963,3
Community 881,0.000380463213963,3
Community 882,0.000380463213963,3
Community 883,0.000380463213963,3
Community 884,0.000380463213963,3
Community 885,0.000380463213963,3
Community 886,0.000380463213963,3
Community 887,0.000380463213963,3
Community 888,0.000380463213963,3
Community 889,0.000380463213963,3
Community 890,0.000380463213963,3
Community 891,0.000380463213963,3
Community 892,0.000380463213963,3
Community 893,0.000380463213963,3
Community 894,0.000380463213963,3
Community 895,0.000380463213963,3
Community 896,0.000380463213963,3
Community 897,0.000380463213963,3
Community 898,0.000380463213963,3
Community 899,0.000380463213963,3
Community 900,0.000380463213963,3
Community 901,0.000380463213963,3
Community 902,0.000380463213963,3
Community 903,0.000380463213963,3
Community 904,0.000380463213963,3
Community 905,0.000380463213963,3
Community 906,0.000380463213963,3
Community 907,0.000380463213963,3
Community 908,0.000380463213963,3
Community 909,0.000380463213963,3
Community 910,0.000380463213963,3
Community 911,0.000380463213963,3
Community 912,0.000380463213963,3
Community 913,0.000380463213963,3
Community 914,0.000380463213963,3
Community 915,0.000380463213963,3
Community 916,0.000380463213963,3
Community 917,0.000380463213963,3
Community 918,0.000380463213963,3
Community 919,0.000380463213963,3
Community 920,0.000380463213963,3
Community 921,0.000380463213963,3
Community 922,0.000380463213963,3
Community 923,0.000380463213963,3
Community 924,0.000380463213963,3
Community 925,0.000380463213963,3
Community 926,0.000380463213963,3
Community 927,0.000380463213963,3
Community 928,0.000380463213963,3
Community 929,0.000380463213963,3
Community 930,0.000380463213963,3
Community 931,0.000380463213963,3
Community 932,0.000380463213963,3
Community 933,0.000380463213963,3
Community 934,0.000380463213963,3
Community 935,0.000380463213963,3
Community 936,0.000380463213963,3
Community 937,0.000380463213963,3
Community 938,0.000380463213963,3
Community 939,0.000380463213963,3
Community 940,0.000380463213963,3
Community 941,0.000380463213963,3
Community 942,0.000380463213963,3
Community 943,0.000380463213963,3
Community 944,0.000380463213963,3
Community 945,0.000380463213963,3
Community 946,0.000380463213963,3
Community 947,0.000380463213963,3
Community 948,0.000380463213963,3
Community 949,0.000380463213963,3
Community 950,0.000380463213963,3
Community 951,0.000380463213963,3
Community 952,0.000380463213963,3
Community 953,0.000380463213963,3
Community 954,0.000380463213963,3
Community 955,0.000380463213963,3
Community 956,0.000380463213963,3
Community 957,0.000380463213963,3
Community 958,0.000380463213963,3
Community 959,0.000380463213963,3
Community 960,0.000380463213963,3
Community 961,0.000380463213963,3
Community 962,0.000380463213963,3
Community 963,0.000380463213963,3
Community 964,0.000380463213963,3
Community 965,0.000380463213963,3
Community 966,0.000380463213963,3
Community 967,0.000380463213963,3
Community 968,0.000380463213963,3
Community 969,0.000380463213963,3
Community 970,0.000380463213963,3
Community 971,0.000380463213963,3
Community 972,0.000380463213963,3
Community 973,0.000380463213963,3
Community 974,0.000380463213963,3
Community 975,0.000380463213963,3
Community 976,0.000380463213963,3
Community 977,0.000380463213963,3
Community 978,0.000380463213963,3
Community 979,0.000380463213963,3
Community 980,0.000380463213963,3
Community 981,0.000380463213963,3
Community 982,0.000380463213963,3
Community 983,0.000380463213963,3
Community 984,0.000380463213963,3
Community 985,0.000380463213963,3
Community 986,0.000380463213963,3
Community 987,0.000380463213963,3
Community 988,0.000380463213963,3
Community 989,0.000380463213963,3
Community 990,0.000380463213963,3
Community 991,0.000380463213963,3
Community 992,0.000380463213963,3
Community 993,0.000380463213963,3
Community 994,0.000380463213963,3
Community 995,0.000380463213963,3
Community 996,0.000380463213963,3
Community 997,0.000380463213963,3
Community 998,0.000380463213963,3
Community 999,0.000380463213963,3
Community 1000,0.000380463213963,3
Community 1001,0.000380463213963,3
Community 1002,0.000380463213963,3
Community 1003,0.000380463213963,3
Community 1004,0.000380463213963,3
Community 1005,0.000380463213963,3
Community 1006,0.000380463213963,3
Community 1007,0.000380463213963,3
Community 1008,0.000380463213963,3
Community 1009,0.000380463213963,3
Community 1010,0.000380463213963,3
Community 1011,0.000380463213963,3
Community 1012,0.000380463213963,3
Community 1013,0.000380463213963,3
Community 1014,0.000380463213963,3
Community 1015,0.000380463213963,3
Community 1016,0.000380463213963,3
Community 1017,0.000380463213963,3
Community 1018,0.000380463213963,3
Community 1019,0.000380463213963,3
Community 1020,0.000380463213963,3
Community 1021,0.000380463213963,3
Community 1022,0.000380463213963,3
Community 1023,0.000380463213963,3
Community 1024,0.000380463213963,3
Community 1025,0.000380463213963,3
Community 1026,0.000380463213963,3
Community 1027,0.000380463213963,3
Community 1028,0.000380463213963,3
Community 1029,0.000380463213963,3
Community 1030,0.000380463213963,3
Community 1031,0.000380463213963,3
Community 1032,0.000380463213963,3
Community 1033,0.000380463213963,3
Community 1034,0.000380463213963,3
Community 1035,0.000380463213963,3
Community 1036,0.000380463213963,3
Community 1037,0.000380463213963,3
Community 1038,0.000380463213963,3
Community 1039,0.000380463213963,3
Community 1040,0.000380463213963,3
Community 1041,0.000380463213963,3
Community 1042,0.000380463213963,3
Community 1043,0.000380463213963,3
Community 1044,0.000380463213963,3
Community 1045,0.000380463213963,3
Community 1046,0.000380463213963,3
Community 1047,0.000380463213963,3
Community 1048,0.000380463213963,3
Community 1049,0.000380463213963,3
Community 1050,0.000380463213963,3
Community 1051,0.000380463213963,3
Community 1052,0.000380463213963,3
Community 1053,0.000380463213963,3
Community 1054,0.000380463213963,3
Community 1055,0.000380463213963,3
Community 1056,0.000380463213963,3
Community 1057,0.000380463213963,3
Community 1058,0.000380463213963,3
Community 1059,0.000380463213963,3
Community 1060,0.000380463213963,3
Community 1061,0.000380463213963,3
Community 1062,0.000380463213963,3
Community 1063,0.000380463213963,3
Community 1064,0.000380463213963,3
Community 1065,0.000380463213963,3
Community 1066,0.000380463213963,3
Community 1067,0.000380463213963,3
Community 1068,0.000380463213963,3
Community 1069,0.000380463213963,3
Community 1070,0.000380463213963,3
Community 1071,0.000380463213963,3
Community 1072,0.000380463213963,3
Community 1073,0.000380463213963,3
Community 1074,0.000380463213963,3
Community 1075,0.000380463213963,3
Community 1076,0.000380463213963,3
Community 1077,0.000380463213963,3
Community 1078,0.000380463213963,3
Community 1079,0.000380463213963,3
Community 1080,0.000380463213963,3
Community 1081,0.000380463213963,3
Community 1082,0.000380463213963,3
Community 1083,0.000380463213963,3
Community 1084,0.000380463213963,3
Community 1085,0.000380463213963,3
Community 1086,0.000380463213963,3
Community 1087,0.000380463213963,3
Community 1088,0.000380463213963,3
Community 1089,0.000380463213963,3
Community 1090,0.000380463213963,3
Community 1091,0.000380463213963,3
Community 1092,0.000380463213963,3
Community 1093,0.000380463213963,3
Community 1094,0.000380463213963,3
Community 1095,0.000380463213963,3
Community 1096,0.000380463213963,3
Community 1097,0.000380463213963,3
Community 1098,0.00028534741047224997,2
Community 1099,0.00028534741047224997,2
Community 1100,0.00028534741047224997,2
Community 1101,0.00028534741047224997,2
Community 1102,0.00028534741047224997,2
Community 1103,0.00028534741047224997,2
Community 1104,0.00028534741047224997,2
Community 1105,0.00028534741047224997,2
Community 1106,0.00028534741047224997,2
Community 1107,0.00028534741047224997,2
Community 1108,0.00028534741047224997,2
Community 1109,0.00028534741047224997,2
Community 1110,0.00028534741047224997,2
Community 1111,0.00028534741047224997,2
Community 1112,0.00028534741047224997,2
Community 1113,0.00028534741047224997,2
Community 1114,0.00028534741047224997,2
Community 1115,0.00028534741047224997,2
Community 1116,0.00028534741047224997,2
Community 1117,0.00028534741047224997,2
Community 1118,0.00028534741047224997,2
Community 1119,0.00028534741047224997,2
Community 1120,0.00028534741047224997,2
Community 1121,0.00028534741047224997,2
Community 1122,0.00028534741047224997,2
Community 1123,0.00028534741047224997,2
Community 1124,0.00028534741047224997,2
Community 1125,0.00028534741047224997,2
Community 1126,0.00028534741047224997,2
Community 1127,0.00028534741047224997,2
Community 1128,0.00028534741047224997,2
Community 1129,0.00028534741047224997,2
Community 1130,0.00028534741047224997,2
Community 1131,0.00028534741047224997,2
Community 1132,0.00028534741047224997,2
Community 1133,0.00028534741047224997,2
Community 1134,0.00028534741047224997,2
Community 1135,0.00028534741047224997,2
Community 1136,0.00028534741047224997,2
Community 1137,0.00028534741047224997,2
Community 1138,0.00028534741047224997,2
Community 1139,0.00028534741047224997,2
Community 1140,0.00028534741047224997,2
Community 1141,0.00028534741047224997,2
Community 1142,0.00028534741047224997,2
Community 1143,0.00028534741047224997,2
Community 1144,0.00028534741047224997,2
Community 1145,0.00028534741047224997,2
Community 1146,0.00028534741047224997,2
Community 1147,0.00028534741047224997,2
Community 1148,0.00028534741047224997,2
Community 1149,0.00028534741047224997,2
Community 1150,0.00028534741047224997,2
Community 1151,0.00028534741047224997,2
Community 1152,0.00028534741047224997,2
Community 1153,0.00028534741047224997,2
Community 1154,0.00028534741047224997,2
Community 1155,0.00028534741047224997,2
Community 1156,0.00028534741047224997,2
Community 1157,0.00028534741047224997,2
Community 1158,0.00028534741047224997,2
Community 1159,0.00028534741047224997,2
Community 1160,0.00028534741047224997,2
Community 1161,0.00028534741047224997,2
Community 1162,0.00028534741047224997,2
Community 1163,0.00028534741047224997,2
Community 1164,0.00028534741047224997,2
Community 1165,0.00028534741047224997,2
Community 1166,0.00028534741047224997,2
Community 1167,0.00028534741047224997,2
Community 1168,0.00028534741047224997,2
Community 1169,0.00028534741047224997,2
Community 1170,0.00028534741047224997,2
Community 1171,0.00028534741047224997,2
Community 1172,0.00028534741047224997,2
Community 1173,0.00028534741047224997,2
Community 1174,0.00028534741047224997,2
Community 1175,0.00028534741047224997,2
Community 1176,0.00028534741047224997,2
Community 1177,0.00028534741047224997,2
Community 1178,0.00028534741047224997,2
Community 1179,0.00028534741047224997,2
Community 1180,0.00028534741047224997,2
Community 1181,0.00028534741047224997,2
Community 1182,0.00028534741047224997,2
Community 1183,0.00028534741047224997,2
Community 1184,0.00028534741047224997,2
Community 1185,0.00028534741047224997,2
Community 1186,0.00028534741047224997,2
Community 1187,0.00028534741047224997,2
Community 1188,0.00028534741047224997,2
Community 1189,0.00028534741047224997,2
Community 1190,0.00028534741047224997,2
Community 1191,0.00028534741047224997,2
Community 1192,0.00028534741047224997,2
Community 1193,0.00028534741047224997,2
Community 1194,0.00028534741047224997,2
Community 1195,0.00028534741047224997,2
Community 1196,0.00028534741047224997,2
