Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id,tweet_text_lower,content_category
3146,meme_mama_god,Me after hearing that black panther passed away,Sat Aug 29 03:00:24 +0000 2020,,1,0,1,2020-08-29 03:00:24+00:00,False,self,,Missing_Retweet_ID,,0.0,1.0,0.0,0.0,Other,1.0,0.0003178639542275906,0.6931471805599453,0.0003178134461837329,3190,original,,me after hearing that black panther passed away,Black Panther
1865,captain marvel gaming studio,"@gnftired HOW DID YOU READ MY MIND?!?!?! 

this is so accurate. I will simply pass away. I cant explained to you how much I need this rn.",Thu Jan 06 05:53:32 +0000 2022,,3,0,7,2022-01-06 05:53:32+00:00,False,gnftired,@gnftired,Missing_Retweet_ID,gnftired,0.0,1.0,0.0,0.0,Other,2.3333333333333335,0.0016085790884718498,1.2039728043259361,0.0016072867108720143,6599,original,,"@gnftired how did you read my mind?!?!?! 

this is so accurate. i will simply pass away. i cant explained to you how much i need this rn.",Other
362,astrid lyttneyd Ã¡sgeirrfinnbjornsdottir,"@WSpargurKnits @raveryn @LOTRonPrime Ummm , hi. So... Black panther isn't real , Wakanda isn't real. Chadwick Boseman is passed away (legend) are we allowed to add &lt;insert white actor here&gt; to the kings of Wakanda? 
How any white ppl are gonna identify themselves with Black panther show?",Thu Sep 08 22:27:09 +0000 2022,,7,2,107,2022-09-08 22:27:09+00:00,False,WSpargurKnits,"@WSpargurKnits, @raveryn, @LOTRonPrime",Missing_Retweet_ID,WSpargurKnits,0.0,1.0,0.0,0.0,Other,15.571428571428571,0.019337016574585635,2.807680042051051,0.01915243221475613,5089,original,,"@wspargurknits @raveryn @lotronprime ummm , hi. so... black panther isn't real , wakanda isn't real. chadwick boseman is passed away (legend) are we allowed to add &lt;insert white actor here&gt; to the kings of wakanda? 
how any white ppl are gonna identify themselves with black panther show?",Black Panther
2813,just chill,Chadwick Boseman Died | RIP Chadwick | Black panther Hero passed away https://t.co/LzCepm4IdX via @YouTube,Sat Aug 29 03:23:22 +0000 2020,,1,0,1,2020-08-29 03:23:22+00:00,True,YouTube,@YouTube,Missing_Retweet_ID,,0.198,0.604,0.198,0.0,3.0,1.0,0.00035549235691432633,0.6931471805599453,0.00035542918447751626,2857,original,,chadwick boseman died | rip chadwick | black panther hero passed away https://t.co/lzcepm4idx via @youtube,Black Panther
1776,frankieldn,@TOUKO91923804 @Mediavenir @CorinneReverbel @franceinfo En mme temps le pass sanitaire est limit en Angleterre aux vnements genre concert donc pas gros impact sur la vie de tous les jours...,Wed Jan 19 17:26:29 +0000 2022,,1,0,2,2022-01-19 17:26:29+00:00,False,TOUKO91923804,"@TOUKO91923804, @Mediavenir, @CorinneReverbel, @franceinfo",Missing_Retweet_ID,TOUKO91923804,0.0,1.0,0.0,0.0,Other,2.0,0.0005630630630630631,1.0986122886681098,0.0005629046025359597,6510,original,,@touko91923804 @mediavenir @corinnereverbel @franceinfo en mme temps le pass sanitaire est limit en angleterre aux vnements genre concert donc pas gros impact sur la vie de tous les jours...,Other
